振動,温度,電力,油塗布,スイッチ,故障
45,251,965,"F","C","F"
130,251,780,"F","D","T"
126,251,787,"F","B","T"
75,251,885,"F","D","T"
57,251,965,"F","A","F"
146,251,748,"F","B","T"
85,251,875,"F","C","T"
162,251,724,"F","A","T"
103,251,835,"F","D","T"
4,251,965,"F","B","F"
197,251,657,"F","B","T"
156,251,734,"F","A","T"
172,251,710,"F","A","T"
64,251,965,"F","A","F"
138,251,764,"F","B","T"
152,251,734,"F","C","T"
167,251,714,"F","D","T"
58,251,965,"F","B","F"
95,251,850,"F","A","T"
72,251,887,"F","A","T"
48,251,965,"F","B","F"
83,251,879,"F","D","T"
189,251,675,"F","C","T"
49,251,965,"F","B","F"
86,251,874,"F","C","T"
149,251,740,"F","C","T"
182,251,689,"F","A","T"
63,251,965,"F","C","F"
173,251,707,"F","D","T"
84,251,875,"F","C","T"
196,251,661,"F","B","T"
102,251,838,"F","C","T"
98,251,846,"F","C","T"
8,251,965,"F","D","F"
165,251,720,"F","B","T"
44,251,965,"F","D","F"
118,251,796,"F","A","T"
113,251,810,"F","C","T"
1,251,965,"F","A","F"
70,251,891,"F","A","T"
141,251,757,"F","C","T"
12,251,965,"F","B","F"
46,251,965,"F","D","F"
101,251,838,"F","B","T"
71,251,889,"F","A","T"
54,251,965,"F","C","F"
106,251,828,"F","B","T"
133,251,776,"F","D","T"
52,251,965,"F","C","F"
97,251,850,"F","B","T"
9,251,965,"F","D","F"
59,251,965,"F","D","F"
142,251,753,"F","A","T"
89,251,869,"F","B","T"
26,251,965,"F","B","F"
74,251,885,"F","C","T"
151,251,736,"F","D","T"
200,251,646,"F","C","T"
67,251,896,"F","C","T"
143,251,752,"F","C","T"
203,251,640,"F","C","T"
121,251,794,"F","A","T"
30,251,965,"F","B","F"
16,251,965,"F","A","F"
177,251,699,"F","B","T"
13,251,965,"F","A","F"
38,251,965,"F","A","F"
159,251,727,"F","C","T"
123,251,791,"F","C","T"
34,251,965,"F","D","F"
193,251,667,"F","B","T"
60,251,965,"F","D","F"
137,251,768,"F","B","T"
122,251,794,"F","D","T"
65,251,901,"F","A","T"
170,251,711,"F","C","T"
82,251,880,"F","D","T"
73,251,887,"F","D","T"
28,251,965,"F","D","F"
0,251,965,"F","A","F"
201,251,644,"F","A","T"
171,251,711,"F","B","T"
39,251,965,"F","B","F"
140,251,761,"F","B","T"
202,251,644,"F","A","T"
111,251,814,"F","B","T"
22,251,965,"F","B","F"
116,251,800,"F","A","T"
134,251,775,"F","A","T"
125,251,790,"F","A","T"
105,251,832,"F","B","T"
194,251,665,"F","D","T"
174,251,705,"F","C","T"
33,251,965,"F","D","F"
77,251,882,"F","D","T"
90,251,865,"F","D","T"
164,251,720,"F","B","T"
3,251,965,"F","C","F"
27,251,965,"F","A","F"
187,251,676,"F","D","T"
32,251,965,"F","D","F"
175,251,704,"F","D","T"
104,251,835,"F","A","T"
24,251,965,"F","A","F"
169,251,711,"F","B","T"
15,251,965,"F","A","F"
21,251,965,"F","D","F"
66,251,897,"F","A","T"
94,251,854,"F","A","T"
47,251,965,"F","C","F"
76,251,883,"F","D","T"
10,251,965,"F","D","F"
53,251,965,"F","D","F"
144,251,752,"F","B","T"
160,251,727,"F","C","T"
41,251,965,"F","B","F"
145,251,750,"F","A","T"
153,251,734,"F","A","T"
190,251,674,"F","A","T"
114,251,807,"F","D","T"
191,251,670,"F","C","T"
100,251,838,"F","C","T"
40,251,965,"F","A","F"
163,251,720,"F","A","T"
79,251,881,"F","A","T"
2,251,965,"F","B","F"
155,251,734,"F","A","T"
179,251,696,"F","A","T"
87,251,872,"F","A","T"
117,251,800,"F","D","T"
157,251,730,"F","C","T"
112,251,814,"F","D","T"
119,251,794,"F","B","T"
195,251,664,"F","A","T"
88,251,871,"F","B","T"
135,251,775,"F","B","T"
120,251,794,"F","A","T"
17,251,965,"F","C","F"
31,251,965,"F","D","F"
132,251,780,"F","D","T"
23,251,965,"F","C","F"
131,251,780,"F","A","T"
92,251,860,"F","D","T"
115,251,804,"F","C","T"
124,251,790,"F","B","T"
96,251,850,"F","B","T"
18,251,965,"F","C","F"
183,251,685,"F","B","T"
108,251,824,"F","C","T"
93,251,856,"F","B","T"
198,251,653,"F","A","T"
127,251,787,"F","D","T"
36,251,965,"F","C","F"
176,251,703,"F","D","T"
51,251,965,"F","B","F"
199,251,650,"F","B","T"
61,251,965,"F","C","F"
43,251,965,"F","A","F"
161,251,724,"F","B","T"
80,251,881,"F","A","T"
6,251,965,"F","B","F"
14,251,965,"F","A","F"
154,251,734,"F","A","T"
180,251,693,"F","C","T"
62,251,965,"F","B","F"
166,251,716,"F","C","T"
107,251,827,"F","B","T"
109,251,822,"F","C","T"
188,251,675,"F","D","T"
147,251,744,"F","D","T"
42,251,965,"F","C","F"
11,251,965,"F","A","F"
56,251,965,"F","D","F"
50,251,965,"F","B","F"
68,251,894,"F","B","T"
148,251,742,"F","B","T"
5,251,965,"F","C","F"
35,251,965,"F","D","F"
25,251,965,"F","D","F"
69,251,892,"F","C","T"
55,251,965,"F","A","F"
150,251,736,"F","D","T"
128,251,786,"F","B","T"
168,251,712,"F","C","T"
91,251,863,"F","D","T"
78,251,881,"F","B","T"
129,251,782,"F","C","T"
37,251,965,"F","C","F"
185,251,680,"F","D","T"
136,313,1109,"F","C","T"
119,302,1103,"F","C","T"
149,322,1101,"F","D","T"
138,315,1104,"F","A","T"
100,291,1086,"F","C","T"
134,311,1104,"F","C","T"
22,259,1072,"F","C","F"
94,287,1077,"F","A","T"
153,322,1102,"F","B","T"
118,301,1102,"F","B","T"
45,259,1072,"F","B","F"
49,267,1072,"F","C","T"
74,278,1059,"F","B","T"
12,259,1072,"F","B","F"
123,304,1106,"F","A","T"
112,299,1095,"F","D","T"
41,259,1072,"F","B","F"
50,267,1077,"F","C","T"
98,290,1081,"F","D","T"
77,279,1062,"F","C","T"
14,259,1072,"F","A","F"
44,259,1072,"F","D","F"
113,299,1093,"F","C","T"
129,307,1104,"F","A","T"
7,259,1072,"F","D","F"
141,316,1097,"F","D","T"
102,293,1093,"F","A","T"
128,307,1104,"F","A","T"
117,301,1099,"F","A","T"
96,289,1073,"F","B","T"
122,304,1108,"F","D","T"
93,287,1081,"F","A","T"
57,270,1074,"F","A","T"
25,259,1072,"F","B","F"
15,259,1072,"F","A","F"
8,259,1072,"F","C","F"
91,287,1077,"F","C","T"
76,278,1064,"F","D","T"
73,277,1062,"F","D","T"
16,259,1072,"F","D","F"
131,308,1100,"F","C","T"
72,276,1063,"F","C","T"
62,272,1067,"F","D","T"
33,259,1072,"F","D","F"
88,284,1071,"F","B","T"
24,259,1072,"F","A","F"
63,272,1065,"F","D","T"
95,288,1073,"F","B","T"
81,280,1071,"F","C","T"
60,270,1063,"F","A","T"
90,286,1079,"F","C","T"
89,285,1075,"F","A","T"
9,259,1072,"F","C","F"
1,259,1072,"F","B","F"
27,259,1072,"F","D","F"
79,280,1065,"F","A","T"
130,308,1101,"F","A","T"
5,259,1072,"F","B","F"
80,280,1066,"F","C","T"
84,282,1071,"F","C","T"
115,300,1101,"F","B","T"
19,259,1072,"F","A","F"
143,317,1093,"F","D","T"
32,259,1072,"F","C","F"
78,280,1067,"F","C","T"
58,270,1070,"F","C","T"
18,259,1072,"F","B","F"
82,280,1071,"F","D","T"
55,270,1071,"F","A","T"
53,269,1078,"F","A","T"
142,316,1094,"F","A","T"
37,259,1072,"F","B","F"
71,275,1062,"F","B","T"
108,297,1092,"F","A","T"
101,292,1091,"F","A","T"
6,259,1072,"F","A","F"
48,267,1067,"F","A","T"
23,259,1072,"F","C","F"
86,283,1071,"F","A","T"
114,299,1098,"F","A","T"
67,273,1055,"F","C","T"
30,259,1072,"F","D","F"
139,316,1100,"F","A","T"
103,293,1089,"F","D","T"
54,270,1075,"F","C","T"
0,259,1072,"F","C","F"
4,259,1072,"F","C","F"
151,322,1098,"F","C","T"
2,259,1072,"F","B","F"
148,321,1101,"F","A","T"
92,287,1078,"F","A","T"
51,267,1082,"F","B","T"
110,298,1092,"F","D","T"
150,322,1099,"F","D","T"
75,278,1060,"F","A","T"
120,303,1100,"F","D","T"
132,309,1103,"F","B","T"
154,322,1104,"F","D","T"
152,322,1097,"F","A","T"
59,270,1066,"F","A","T"
125,306,1099,"F","C","T"
127,306,1099,"F","C","T"
144,318,1094,"F","C","T"
10,259,1072,"F","B","F"
42,259,1072,"F","A","F"
35,259,1072,"F","C","F"
126,306,1101,"F","C","T"
40,259,1072,"F","A","F"
140,316,1097,"F","D","T"
111,298,1094,"F","A","T"
133,310,1101,"F","D","T"
43,259,1072,"F","D","F"
87,283,1070,"F","A","T"
66,272,1059,"F","D","T"
107,296,1096,"F","A","T"
135,312,1105,"F","B","T"
109,298,1094,"F","D","T"
56,270,1071,"F","B","T"
146,320,1093,"F","B","T"
17,259,1072,"F","B","F"
121,303,1103,"F","C","T"
39,259,1072,"F","C","F"
26,259,1072,"F","A","F"
28,259,1072,"F","B","F"
124,305,1103,"F","A","T"
99,290,1082,"F","C","T"
29,259,1072,"F","A","F"
46,259,1072,"F","A","F"
104,294,1089,"F","A","T"
31,259,1072,"F","B","F"
38,259,1072,"F","A","F"
20,259,1072,"F","A","F"
21,259,1072,"F","D","F"
97,289,1077,"F","C","T"
34,259,1072,"F","C","F"
61,271,1068,"F","A","T"
36,259,1072,"F","C","F"
47,259,1072,"F","A","F"
145,319,1093,"F","D","T"
85,282,1071,"F","C","T"
116,300,1103,"T","D","T"
65,272,1062,"F","C","T"
105,294,1089,"F","B","T"
137,314,1107,"F","C","T"
52,268,1081,"F","A","T"
64,272,1066,"F","C","T"
69,275,1054,"F","C","T"
13,259,1072,"F","B","F"
147,320,1096,"F","C","T"
68,274,1053,"F","D","T"
70,275,1058,"F","D","T"
3,259,1072,"F","D","F"
106,295,1094,"F","C","T"
83,281,1070,"T","A","T"
11,259,1072,"F","B","F"
56,260,947,"F","C","T"
138,300,932,"F","A","T"
129,295,938,"F","D","T"
173,323,930,"F","C","T"
157,311,937,"F","C","T"
63,264,948,"F","C","T"
6,252,939,"F","D","F"
9,252,939,"F","B","F"
110,288,951,"F","C","T"
94,280,950,"F","B","T"
147,306,943,"F","D","T"
122,291,954,"F","B","T"
134,297,939,"F","B","T"
137,299,936,"F","D","T"
83,274,963,"F","D","T"
100,283,952,"F","A","T"
27,252,939,"F","C","F"
108,287,948,"F","C","T"
51,259,938,"F","B","T"
141,302,938,"F","D","T"
168,318,939,"F","C","T"
41,252,939,"T","D","F"
127,294,946,"F","D","T"
159,311,938,"F","B","T"
59,260,949,"F","D","T"
172,322,934,"F","D","T"
96,281,954,"F","B","T"
139,300,937,"F","A","T"
64,264,950,"F","C","T"
66,264,945,"F","B","T"
186,329,932,"F","D","T"
2,252,939,"F","B","F"
86,277,965,"F","A","T"
5,252,939,"F","D","F"
81,272,956,"F","A","T"
28,252,939,"F","A","F"
101,283,957,"F","B","T"
123,291,955,"F","A","T"
48,257,942,"F","C","T"
182,325,926,"F","D","T"
12,252,939,"F","D","F"
133,297,938,"F","A","T"
52,259,934,"F","A","T"
24,252,939,"F","D","F"
115,288,951,"F","C","T"
69,266,945,"F","C","T"
26,252,939,"F","C","F"
185,328,931,"F","C","T"
75,269,949,"F","D","T"
78,271,955,"F","C","T"
72,267,950,"F","C","T"
124,292,951,"F","D","T"
93,279,952,"F","D","T"
140,301,940,"F","A","T"
43,252,939,"F","A","F"
74,269,951,"T","C","T"
32,252,939,"F","D","F"
8,252,939,"F","C","F"
152,307,941,"F","D","T"
131,296,934,"F","A","T"
17,252,939,"F","D","F"
70,267,942,"F","C","T"
21,252,939,"F","D","F"
167,318,943,"F","A","T"
34,252,939,"F","C","F"
33,252,939,"F","C","F"
89,277,963,"F","A","T"
151,306,938,"F","B","T"
118,289,949,"F","C","T"
180,324,927,"F","C","T"
87,277,968,"F","D","T"
3,252,939,"F","C","F"
120,290,953,"F","D","T"
98,282,954,"F","A","T"
106,286,947,"F","A","T"
132,297,939,"F","B","T"
97,281,955,"F","B","T"
164,315,937,"F","C","T"
73,268,954,"F","C","T"
91,278,959,"F","B","T"
113,288,950,"F","D","T"
126,293,947,"F","B","T"
102,284,953,"F","B","T"
76,270,945,"F","A","T"
125,293,951,"F","B","T"
142,302,935,"F","A","T"
37,252,939,"F","D","F"
116,288,950,"F","D","T"
62,263,947,"F","B","T"
14,252,939,"F","D","F"
38,252,939,"F","A","F"
109,288,950,"F","D","T"
54,259,937,"F","B","T"
121,291,950,"F","B","T"
22,252,939,"F","A","F"
128,294,942,"F","A","T"
184,327,934,"F","D","T"
178,323,923,"F","D","T"
47,252,939,"F","A","F"
175,323,924,"F","B","T"
53,259,937,"F","C","T"
177,323,924,"F","D","T"
57,260,948,"F","B","T"
112,288,949,"F","B","T"
117,289,952,"F","A","T"
30,252,939,"F","B","F"
71,267,947,"F","D","T"
50,258,941,"F","D","T"
105,286,948,"F","B","T"
148,306,939,"F","C","T"
46,252,939,"F","C","F"
146,305,945,"T","C","T"
145,304,940,"F","B","T"
55,259,942,"F","D","T"
166,317,938,"F","C","T"
61,262,944,"F","C","T"
65,264,949,"F","C","T"
165,316,939,"F","A","T"
29,252,939,"F","B","F"
16,252,939,"F","B","F"
42,252,939,"F","B","F"
13,252,939,"F","A","F"
0,252,939,"F","C","F"
163,314,932,"F","D","T"
170,320,937,"F","D","T"
181,324,927,"F","B","T"
10,252,939,"F","C","F"
119,289,951,"F","C","T"
135,297,937,"F","C","T"
161,313,937,"F","B","T"
136,298,933,"F","B","T"
36,252,939,"F","D","F"
158,311,935,"F","A","T"
92,279,956,"F","D","T"
58,260,953,"F","A","T"
23,252,939,"F","A","F"
88,277,967,"F","B","T"
111,288,948,"F","D","T"
80,271,958,"F","C","T"
49,258,942,"T","C","T"
160,312,939,"F","A","T"
7,252,939,"F","C","F"
31,252,939,"F","B","F"
143,302,936,"F","A","T"
19,252,939,"F","C","F"
107,287,946,"F","A","T"
68,265,947,"F","D","T"
11,252,939,"F","B","F"
99,283,955,"F","C","T"
77,271,950,"F","D","T"
35,252,939,"F","C","F"
60,261,948,"F","D","T"
18,252,939,"F","C","F"
154,308,938,"F","C","T"
103,285,952,"F","B","T"
114,288,947,"F","D","T"
4,252,939,"F","C","F"
79,271,956,"F","D","T"
67,265,945,"F","A","T"
90,277,962,"F","B","T"
44,252,939,"F","C","F"
45,252,939,"F","A","F"
25,252,939,"F","D","F"
130,296,937,"F","D","T"
171,321,938,"F","A","T"
104,286,952,"F","D","T"
40,252,939,"F","A","F"
85,276,969,"F","D","T"
179,324,924,"T","C","T"
82,273,961,"F","B","T"
15,252,939,"F","C","F"
176,323,928,"F","A","T"
39,252,939,"F","C","F"
20,252,939,"F","A","F"
174,323,926,"F","B","T"
155,309,938,"F","D","T"
149,306,936,"F","A","T"
183,326,930,"F","C","T"
144,303,939,"F","C","T"
153,308,942,"F","C","T"
84,275,964,"F","B","T"
162,313,936,"F","C","T"
1,252,939,"F","A","F"
95,281,950,"F","B","T"
169,319,938,"F","D","T"
150,306,939,"F","B","T"
156,310,938,"F","D","T"
36,244,1095,"F","C","F"
20,244,1095,"F","A","F"
6,244,1095,"F","D","F"
69,244,1031,"F","C","T"
85,244,996,"F","C","T"
77,244,1015,"F","D","T"
53,244,1095,"F","A","F"
125,244,912,"F","D","T"
131,244,902,"F","A","T"
15,244,1095,"F","D","F"
97,244,973,"F","A","T"
109,244,949,"F","B","T"
23,244,1095,"F","C","F"
129,244,906,"F","B","T"
93,244,981,"F","A","T"
78,244,1015,"F","D","T"
13,244,1095,"T","B","F"
17,244,1095,"F","D","F"
83,244,1002,"F","C","T"
88,244,994,"F","B","T"
95,244,979,"F","D","T"
66,244,1095,"F","A","F"
46,244,1095,"F","B","F"
82,244,1006,"F","C","T"
58,244,1095,"F","A","F"
70,244,1030,"F","B","T"
105,244,959,"F","C","T"
98,244,973,"F","C","T"
38,244,1095,"F","A","F"
59,244,1095,"F","D","F"
114,244,939,"F","A","T"
2,244,1095,"F","A","F"
91,244,988,"F","A","T"
3,244,1095,"F","C","F"
64,244,1095,"F","C","F"
76,244,1018,"F","D","T"
55,244,1095,"F","D","F"
121,244,922,"F","B","T"
22,244,1095,"F","A","F"
33,244,1095,"F","D","F"
56,244,1095,"F","B","F"
30,244,1095,"F","C","F"
41,244,1095,"F","B","F"
25,244,1095,"F","C","F"
8,244,1095,"F","C","F"
111,244,948,"F","B","T"
21,244,1095,"F","A","F"
104,244,960,"F","D","T"
128,244,906,"F","C","T"
108,244,952,"F","B","T"
45,244,1095,"F","C","F"
101,244,968,"F","C","T"
28,244,1095,"F","A","F"
80,244,1011,"F","A","T"
50,244,1095,"F","D","F"
90,244,988,"F","C","T"
31,244,1095,"F","B","F"
73,244,1024,"F","C","T"
79,244,1014,"F","A","T"
29,244,1095,"F","B","F"
40,244,1095,"F","A","F"
116,244,933,"F","B","T"
124,244,914,"F","A","T"
96,244,975,"F","D","T"
19,244,1095,"T","C","F"
99,244,972,"F","C","T"
67,244,1033,"F","A","T"
68,244,1031,"F","A","T"
119,244,926,"F","C","T"
94,244,980,"F","D","T"
103,244,964,"F","D","T"
48,244,1095,"F","C","F"
113,244,940,"F","B","T"
75,244,1020,"F","B","T"
61,244,1095,"F","D","F"
10,244,1095,"F","A","F"
57,244,1095,"F","C","F"
118,244,929,"F","D","T"
132,244,902,"F","C","T"
65,244,1095,"F","A","F"
126,244,911,"F","A","T"
27,244,1095,"F","B","F"
106,244,957,"F","A","T"
62,244,1095,"F","A","F"
32,244,1095,"F","D","F"
5,244,1095,"F","D","F"
107,244,953,"F","B","T"
47,244,1095,"F","C","F"
14,244,1095,"F","D","F"
18,244,1095,"F","A","F"
4,244,1095,"F","B","F"
16,244,1095,"F","D","F"
7,244,1095,"F","A","F"
52,244,1095,"F","A","F"
92,244,985,"F","B","T"
51,244,1095,"F","A","F"
120,244,923,"F","B","T"
122,244,919,"F","C","T"
110,244,948,"F","A","T"
84,244,1000,"F","A","T"
71,244,1027,"F","D","T"
87,244,994,"F","B","T"
86,244,995,"F","C","T"
123,244,917,"F","A","T"
9,244,1095,"F","C","F"
100,244,970,"F","B","T"
43,244,1095,"F","D","F"
117,244,931,"F","B","T"
115,244,937,"F","B","T"
74,244,1024,"F","A","T"
35,244,1095,"F","D","F"
54,244,1095,"F","C","F"
34,244,1095,"F","C","F"
127,244,910,"F","D","T"
89,244,991,"F","A","T"
26,244,1095,"F","C","F"
102,244,967,"F","B","T"
11,244,1095,"F","D","F"
24,244,1095,"F","A","F"
44,244,1095,"F","B","F"
81,244,1007,"F","A","T"
112,244,944,"F","B","T"
39,244,1095,"F","D","F"
1,244,1095,"F","B","F"
12,244,1095,"F","D","F"
63,244,1095,"F","B","F"
130,244,905,"F","D","T"
37,244,1095,"F","D","F"
0,244,1095,"F","C","F"
60,244,1095,"F","D","F"
72,244,1024,"F","C","T"
49,244,1095,"F","A","F"
42,244,1095,"F","C","F"
77,252,867,"F","C","T"
44,252,952,"F","C","F"
64,252,887,"F","C","T"
89,252,845,"F","A","T"
67,252,885,"F","C","T"
9,252,952,"F","C","F"
32,252,952,"F","D","F"
88,252,847,"F","B","T"
22,252,952,"F","C","F"
90,252,843,"F","D","T"
82,252,860,"F","B","T"
65,252,887,"F","C","T"
94,252,842,"F","B","T"
19,252,952,"F","A","F"
55,252,903,"F","B","T"
35,252,952,"F","C","F"
60,252,895,"F","A","T"
42,252,952,"F","A","F"
27,252,952,"F","D","F"
29,252,952,"F","A","F"
85,252,856,"F","A","T"
51,252,914,"F","C","T"
73,252,870,"F","D","T"
15,252,952,"F","D","F"
33,252,952,"F","D","F"
91,252,842,"F","A","T"
11,252,952,"F","B","F"
3,252,952,"F","C","F"
57,252,901,"F","D","T"
86,252,853,"F","C","T"
28,252,952,"F","B","F"
83,252,860,"F","B","T"
71,252,877,"F","D","T"
74,252,870,"F","A","T"
80,252,864,"F","A","T"
58,252,898,"F","C","T"
24,252,952,"F","B","F"
54,252,907,"F","A","T"
49,252,952,"F","D","F"
43,252,952,"F","D","F"
38,252,952,"F","A","F"
2,252,952,"F","C","F"
48,252,952,"F","D","F"
92,252,842,"F","C","T"
62,252,888,"F","A","T"
68,252,885,"F","A","T"
46,252,952,"F","B","F"
63,252,887,"F","A","T"
45,252,952,"F","C","F"
81,252,864,"F","B","T"
14,252,952,"F","D","F"
12,252,952,"F","D","F"
31,252,952,"F","B","F"
52,252,911,"F","B","T"
39,252,952,"F","A","F"
21,252,952,"F","A","F"
13,252,952,"F","C","F"
78,252,867,"F","A","T"
17,252,952,"F","D","F"
5,252,952,"F","C","F"
6,252,952,"F","C","F"
69,252,882,"F","C","T"
26,252,952,"F","A","F"
18,252,952,"F","A","F"
79,252,867,"F","D","T"
8,252,952,"F","D","F"
50,252,952,"F","D","F"
93,252,842,"F","A","T"
37,252,952,"F","C","F"
72,252,873,"F","C","T"
36,252,952,"F","C","F"
47,252,952,"F","C","F"
23,252,952,"F","C","F"
10,252,952,"F","B","F"
61,252,892,"F","D","T"
30,252,952,"F","D","F"
75,252,870,"F","A","T"
4,252,952,"F","C","F"
53,252,911,"F","C","T"
84,252,859,"F","D","T"
20,252,952,"F","C","F"
66,252,885,"F","C","T"
41,252,952,"F","C","F"
34,252,952,"F","D","F"
70,252,878,"F","D","T"
0,252,952,"F","B","F"
25,252,952,"F","D","F"
56,252,903,"F","C","T"
40,252,952,"F","A","F"
87,252,849,"F","C","T"
59,252,895,"F","C","T"
1,252,952,"F","C","F"
16,252,952,"F","A","F"
76,252,868,"F","C","T"
7,252,952,"F","C","F"
49,243,661,"F","B","T"
51,243,952,"F","B","T"
9,243,1036,"F","A","F"
48,243,660,"F","D","T"
62,243,902,"F","A","T"
40,243,659,"T","B","T"
28,243,1036,"F","B","F"
21,243,1036,"F","C","F"
37,243,659,"F","D","T"
32,243,1036,"F","A","F"
27,243,1036,"F","B","F"
4,243,1036,"F","C","F"
55,243,937,"F","A","T"
63,243,896,"F","B","T"
8,243,1036,"F","B","F"
38,243,660,"F","A","T"
42,243,659,"F","D","T"
35,243,661,"F","A","T"
25,243,1036,"T","C","F"
60,243,914,"F","D","T"
50,243,902,"F","C","T"
57,243,930,"F","A","T"
16,243,1036,"F","A","F"
12,243,1036,"F","D","F"
1,243,1036,"F","B","F"
26,243,1036,"F","C","F"
20,243,1036,"F","B","F"
0,243,1036,"F","C","F"
23,243,1036,"F","C","F"
19,243,1036,"F","D","F"
3,243,1036,"F","A","F"
24,243,1036,"F","D","F"
5,243,1036,"F","D","F"
36,243,660,"F","B","T"
61,243,908,"F","B","T"
70,243,864,"F","A","T"
31,243,1036,"T","B","F"
66,243,880,"F","B","T"
7,243,1036,"F","B","F"
56,243,932,"F","C","T"
6,243,1036,"F","B","F"
54,243,941,"F","C","T"
15,243,1036,"F","A","F"
17,243,1036,"F","B","F"
45,243,659,"F","B","T"
69,243,866,"F","A","T"
53,243,944,"F","C","T"
46,243,659,"F","D","T"
47,243,660,"F","B","T"
65,243,887,"F","A","T"
33,243,1036,"F","A","F"
58,243,926,"F","C","T"
67,243,876,"F","C","T"
14,243,1036,"F","C","F"
11,243,1036,"F","C","F"
34,243,1036,"F","B","F"
39,243,659,"T","A","T"
2,243,1036,"F","D","F"
52,243,945,"F","D","T"
43,243,660,"F","A","T"
64,243,894,"F","B","T"
22,243,1036,"T","C","F"
41,243,659,"F","C","T"
10,243,1036,"F","B","F"
13,243,1036,"F","A","F"
44,243,662,"F","D","T"
18,243,1036,"F","A","F"
68,243,871,"F","A","T"
59,243,921,"F","B","T"
30,243,1036,"F","D","F"
29,243,1036,"F","C","F"
6,255,941,"F","B","F"
44,255,941,"F","D","F"
14,255,941,"F","A","F"
46,255,941,"F","A","F"
34,255,941,"F","D","F"
49,255,880,"F","D","T"
33,255,941,"F","B","F"
55,255,853,"F","A","T"
36,255,941,"F","A","F"
42,255,941,"F","D","F"
30,255,941,"F","B","F"
21,255,941,"F","A","F"
24,255,941,"F","D","F"
17,255,941,"F","D","F"
13,255,941,"F","C","F"
54,255,856,"F","A","T"
38,255,941,"F","A","F"
35,255,941,"F","C","F"
1,255,941,"F","A","F"
27,255,941,"F","C","F"
57,255,845,"F","C","T"
4,255,941,"F","D","F"
2,255,941,"F","A","F"
5,255,941,"F","B","F"
37,255,941,"F","C","F"
50,255,871,"F","C","T"
18,255,941,"F","B","F"
51,255,867,"F","A","T"
23,255,941,"F","B","F"
25,255,941,"F","B","F"
52,255,864,"F","C","T"
11,255,941,"F","A","F"
10,255,941,"F","A","F"
43,255,941,"F","C","F"
3,255,941,"F","A","F"
40,255,941,"F","C","F"
56,255,853,"F","C","T"
48,255,885,"F","C","T"
8,255,941,"F","C","F"
29,255,941,"F","B","F"
39,255,941,"F","B","F"
7,255,941,"F","C","F"
0,255,941,"F","D","F"
19,255,941,"F","B","F"
41,255,941,"F","B","F"
45,255,941,"F","B","F"
53,255,857,"F","D","T"
9,255,941,"F","B","F"
12,255,941,"F","B","F"
16,255,941,"F","D","F"
15,255,941,"F","A","F"
26,255,941,"F","C","F"
32,255,941,"F","B","F"
47,255,889,"F","D","T"
31,255,941,"F","C","F"
20,255,941,"F","C","F"
22,255,941,"F","A","F"
28,255,941,"F","D","F"
15,253,905,"F","B","F"
5,253,905,"F","A","F"
24,253,905,"F","D","F"
14,253,905,"F","D","F"
38,253,905,"F","A","F"
4,253,905,"F","D","F"
7,253,905,"F","B","F"
42,253,905,"F","C","F"
22,253,905,"F","D","F"
40,253,905,"F","C","F"
20,253,905,"F","D","F"
37,253,905,"F","D","F"
29,253,905,"F","D","F"
35,253,905,"F","B","F"
31,253,905,"F","A","F"
28,253,905,"F","B","F"
2,253,905,"F","A","F"
0,253,905,"F","C","F"
8,253,905,"F","A","F"
27,253,905,"F","D","F"
45,253,905,"F","C","F"
43,253,905,"F","C","F"
39,253,905,"F","D","F"
6,253,905,"F","C","F"
19,253,905,"F","A","F"
26,253,905,"F","A","F"
17,253,905,"F","C","F"
16,253,905,"F","A","F"
1,253,905,"F","B","F"
32,253,905,"F","B","F"
18,253,905,"F","C","F"
36,253,905,"F","B","F"
21,253,905,"F","D","F"
46,253,905,"F","B","F"
25,253,905,"F","D","F"
30,253,905,"F","B","F"
13,253,905,"F","A","F"
11,253,905,"F","D","F"
44,253,905,"F","D","F"
33,253,905,"F","D","F"
9,253,905,"F","A","F"
10,253,905,"F","D","F"
23,253,905,"F","C","F"
12,253,905,"F","D","F"
41,253,905,"F","B","F"
34,253,905,"F","B","F"
3,253,905,"F","B","F"
59,259,950,"F","C","T"
52,259,1059,"F","D","F"
5,259,1059,"F","C","F"
53,259,1059,"F","D","F"
66,259,919,"F","A","T"
23,259,1059,"F","D","F"
11,259,1059,"F","C","F"
83,259,839,"F","A","T"
41,259,1059,"F","C","F"
72,259,894,"F","C","T"
19,259,1059,"F","B","F"
22,259,1059,"F","D","F"
78,259,873,"F","C","T"
44,259,1059,"F","D","F"
57,259,1059,"F","D","F"
77,259,880,"F","D","T"
42,259,1059,"F","B","F"
50,259,1059,"F","C","F"
80,259,858,"F","A","T"
37,259,1059,"F","D","F"
14,259,1059,"F","D","F"
81,259,850,"F","D","T"
82,259,844,"F","D","T"
47,259,1059,"F","B","F"
49,259,1059,"F","B","F"
69,259,907,"F","C","T"
38,259,1059,"F","B","F"
18,259,1059,"F","A","F"
25,259,1059,"F","C","F"
6,259,1059,"F","D","F"
40,259,1059,"F","D","F"
75,259,883,"F","C","T"
56,259,1059,"F","B","F"
43,259,1059,"F","C","F"
29,259,1059,"F","B","F"
71,259,902,"F","D","T"
31,259,1059,"F","B","F"
17,259,1059,"F","B","F"
61,259,948,"F","C","T"
63,259,939,"F","D","T"
51,259,1059,"F","B","F"
