CUSTID,DATE,AMOUNT,NUMPURCHASE
101890,2019-04-15,3960,2
101167,2019-03-27,16940,5
102941,2019-09-18,3720,1
105052,2019-03-10,20148,4
100575,2019-01-17,5631,2
103971,2019-12-08,3894,3
104454,2019-05-13,10876,3
101930,2019-12-30,4706,1
104239,2019-09-22,26766,2
100627,2019-05-26,9393,2
103892,2019-07-16,56184,2
104184,2019-11-25,4738,1
101818,2019-03-24,3960,1
103975,2019-11-27,1980,1
104939,2019-04-30,13920,4
103522,2019-07-30,44030,4
102397,2019-11-27,31765,6
105319,2019-05-04,16750,1
101482,2019-07-08,12330,5
100206,2019-12-10,4788,1
102408,2019-06-28,3020,1
102798,2019-06-30,3120,2
103761,2019-04-29,19960,3
102157,2019-02-11,1200,1
102656,2019-08-19,3222,2
105780,2019-01-26,17600,1
101154,2019-12-31,6180,1
105409,2019-04-16,22560,2
101306,2019-11-04,3533,1
104804,2019-11-30,3605,1
103115,2019-06-15,2100,2
105742,2019-03-24,9300,2
103600,2019-06-10,6300,1
105068,2019-05-27,3040,1
101789,2019-02-18,6861,3
104147,2019-12-17,4700,1
104739,2019-02-19,4290,2
105708,2019-10-04,9667,4
103787,2019-01-20,4600,1
104684,2019-04-22,7164,1
101163,2019-12-24,6000,1
101731,2019-12-19,9149,3
101073,2019-07-16,4050,1
102928,2019-12-09,9312,3
101973,2019-01-20,5390,1
103815,2019-05-09,52279,11
101606,2019-01-05,7231,3
102768,2019-06-30,9880,2
104335,2019-09-18,2536,1
105624,2019-07-09,19800,3
104867,2019-02-23,33876,2
101500,2019-03-03,3880,1
103949,2019-09-07,14000,1
102143,2019-07-09,4628,2
102190,2019-07-04,132582,1
105170,2019-02-05,5260,3
102540,2019-06-19,7750,1
101636,2019-12-05,4096,1
100482,2019-02-20,1386,1
101276,2019-01-08,10134,7
104133,2019-08-09,40370,12
101174,2019-03-16,3950,1
103680,2019-04-12,10410,4
103892,2019-01-19,10314,2
101316,2019-09-23,6360,1
100826,2019-03-24,20900,5
103214,2019-05-20,3131,1
100855,2019-07-24,7750,1
103724,2019-05-15,5834,2
102862,2019-11-18,5400,1
100064,2019-12-17,7492,3
100706,2019-10-05,9360,2
102314,2019-01-06,13282,4
100301,2019-12-25,1980,1
105965,2019-06-30,1376,1
101403,2019-03-09,6116,3
103564,2019-02-21,2642,2
103489,2019-03-03,13100,3
100532,2019-11-22,8700,2
101105,2019-09-03,38768,5
104977,2019-01-28,3025,2
102997,2019-04-14,21184,7
105596,2019-08-13,3960,2
103332,2019-07-14,7025,2
101177,2019-12-23,5616,1
101620,2019-05-06,8400,1
100973,2019-04-11,4680,1
105129,2019-04-20,6200,1
103626,2019-02-10,18000,4
102928,2019-06-12,1314,1
100859,2019-06-09,8140,2
104293,2019-12-19,13514,3
102768,2019-01-01,11960,1
100856,2019-03-19,5138,3
101511,2019-10-18,5040,1
103055,2019-04-17,8379,1
100596,2019-03-16,9320,2
104160,2019-07-17,4440,2
102138,2019-07-19,3427,3
100533,2019-09-27,28800,1
100029,2019-06-01,7600,2
100682,2019-05-04,3380,3
100683,2019-11-26,10436,2
101536,2019-06-03,3060,1
103560,2019-11-18,27252,3
100026,2019-12-13,1740,1
100382,2019-07-01,10620,1
101622,2019-07-23,9300,1
101169,2019-03-26,1920,1
102672,2019-06-04,9720,1
103373,2019-11-24,17327,3
101916,2019-02-19,8250,1
104295,2019-08-14,3400,1
103518,2019-09-01,17019,6
101436,2019-01-21,4080,2
101454,2019-08-11,28310,1
100201,2019-06-23,10680,2
105260,2019-08-10,8615,1
103115,2019-07-28,6750,2
101844,2019-01-28,3560,1
104607,2019-09-07,6300,1
100685,2019-03-24,1620,1
101375,2019-03-19,3080,2
101265,2019-12-07,13300,1
101937,2019-12-02,8885,2
105704,2019-04-27,9466,2
103564,2019-07-13,10251,4
101631,2019-01-20,12600,1
104790,2019-01-19,7605,4
105625,2019-06-25,3008,2
102836,2019-08-24,32000,1
104434,2019-02-11,34200,2
100988,2019-02-23,9575,3
105739,2019-08-30,12768,1
101606,2019-02-18,8402,2
105529,2019-02-10,14250,1
103394,2019-11-09,5880,1
100065,2019-03-11,12330,2
101918,2019-05-04,4800,1
104314,2019-04-09,4360,1
100463,2019-09-11,7170,1
104624,2019-01-06,2611,1
105875,2019-01-15,21418,3
100845,2019-04-11,14300,2
100049,2019-07-07,17808,5
105868,2019-03-16,3100,1
101450,2019-11-25,3290,2
100949,2019-01-11,49712,13
104958,2019-04-17,14060,1
103806,2019-08-12,2651,1
105355,2019-03-27,22290,4
102653,2019-05-17,4400,1
104203,2019-07-22,4983,1
102398,2019-12-14,5700,1
104087,2019-01-05,6159,2
105160,2019-07-17,9070,3
101980,2019-07-29,3919,1
104544,2019-02-13,19855,1
100840,2019-12-07,4680,3
104652,2019-11-09,8380,2
103789,2019-05-18,5230,2
105048,2019-02-25,7155,2
100527,2019-01-05,3460,2
105629,2019-02-20,17930,3
103037,2019-12-01,5340,2
105640,2019-09-10,13053,1
105236,2019-03-09,4000,1
103964,2019-11-23,3000,1
101028,2019-05-08,3080,1
100303,2019-07-11,14457,6
101562,2019-04-25,2760,1
103198,2019-04-10,5320,1
100353,2019-02-22,5440,1
102663,2019-06-04,3960,1
100448,2019-09-02,6970,1
101451,2019-07-20,7920,1
104204,2019-03-17,42175,2
102352,2019-08-14,4700,1
105860,2019-01-06,3510,1
105780,2019-07-31,12919,5
102749,2019-07-24,15385,1
104756,2019-11-18,3800,1
103253,2019-09-08,13254,4
104029,2019-12-10,9900,1
105946,2019-02-26,9060,1
101985,2019-06-05,16844,5
100482,2019-03-27,3240,1
101229,2019-02-20,1240,1
100409,2019-01-08,2510,2
104086,2019-09-21,6250,1
104286,2019-04-27,4500,1
103330,2019-06-04,4200,1
100418,2019-01-06,13280,2
105514,2019-06-25,25241,9
103570,2019-09-25,10400,3
103724,2019-06-22,3053,2
104247,2019-10-31,17724,3
101403,2019-04-16,2776,2
101427,2019-11-06,3958,2
105317,2019-10-21,13280,2
105809,2019-10-16,2460,1
102045,2019-06-09,19154,4
102643,2019-06-04,4413,2
105068,2019-01-05,3040,1
103532,2019-03-18,13843,3
103557,2019-10-08,5522,3
102537,2019-03-11,4070,2
100454,2019-10-15,5070,3
101628,2019-04-15,26600,1
102585,2019-09-28,2790,2
105000,2019-09-25,4428,4
105487,2019-03-12,3900,2
105688,2019-05-08,7800,1
104429,2019-06-29,3168,1
102485,2019-01-02,4770,3
104892,2019-05-01,6296,5
104933,2019-08-13,12600,1
105073,2019-01-08,5044,2
104874,2019-11-13,5720,2
105368,2019-02-26,31200,3
102820,2019-04-25,14808,4
101430,2019-07-01,3800,1
100012,2019-09-09,3850,1
104758,2019-03-08,1667,1
105206,2019-01-24,9975,1
105156,2019-09-08,32300,1
105203,2019-09-03,4950,2
102679,2019-08-21,16744,6
104567,2019-03-27,4940,1
102339,2019-10-22,38938,12
104527,2019-12-15,7740,1
102681,2019-12-03,1060,1
104337,2019-09-24,13824,1
104403,2019-01-01,9100,1
103348,2019-03-09,7186,2
101626,2019-05-22,3100,1
101633,2019-12-12,25278,4
103762,2019-11-24,3392,2
102374,2019-07-15,121734,25
101502,2019-01-22,4650,1
103112,2019-06-06,22140,2
104266,2019-09-11,3346,1
104826,2019-02-16,5890,2
103009,2019-01-24,5812,2
100055,2019-11-26,13888,4
105413,2019-04-28,12375,1
104667,2019-04-14,5460,1
104708,2019-11-04,1214,1
100692,2019-06-30,12850,3
103002,2019-10-12,6612,2
105204,2019-04-30,8697,2
102549,2019-06-15,3000,1
103096,2019-10-02,11840,3
104448,2019-01-13,7071,2
101094,2019-10-22,9720,4
101585,2019-09-22,7920,1
102643,2019-10-28,63810,3
101719,2019-01-27,1100,1
100329,2019-02-13,5520,2
104434,2019-03-18,9650,2
102952,2019-12-21,8419,4
105939,2019-05-11,30200,2
100973,2019-10-10,16587,3
100360,2019-06-04,3103,2
105875,2019-02-22,2090,1
102507,2019-02-25,20850,3
104117,2019-07-09,8440,3
104467,2019-06-24,3640,2
101659,2019-12-30,4050,1
104197,2019-07-04,24154,6
102119,2019-07-06,20000,2
100544,2019-05-06,9440,2
105009,2019-03-11,4030,2
100895,2019-11-11,5500,1
102948,2019-08-10,13478,6
105128,2019-02-02,7860,2
103084,2019-11-10,13392,5
105725,2019-08-19,12296,2
105304,2019-04-29,7748,2
102692,2019-08-17,3960,1
104395,2019-06-01,2200,1
101283,2019-05-29,4770,1
102665,2019-06-23,24110,5
100575,2019-08-29,21285,7
103964,2019-12-30,6105,2
101825,2019-02-16,4790,1
103873,2019-01-16,3960,1
101677,2019-11-19,5640,1
103303,2019-03-19,13874,3
104921,2019-05-20,56304,6
103800,2019-10-04,3960,1
104939,2019-12-10,11135,5
104827,2019-06-26,7998,1
101591,2019-12-22,5310,2
102672,2019-12-03,8450,2
105831,2019-12-02,2700,1
101659,2019-02-03,4700,1
102103,2019-01-08,16700,4
102793,2019-07-20,4478,2
104063,2019-05-07,6000,1
104768,2019-09-16,7016,1
101401,2019-09-28,8360,3
100849,2019-07-11,5320,1
102748,2019-02-09,4140,1
104120,2019-11-19,2260,1
103044,2019-09-03,5036,2
102535,2019-02-01,5091,3
100030,2019-07-27,3840,1
102933,2019-08-01,1938,1
102326,2019-02-03,7760,1
102976,2019-04-11,1055,1
103026,2019-01-01,4280,1
103087,2019-10-02,8900,1
101719,2019-06-19,7000,2
102471,2019-06-14,11529,4
103382,2019-11-20,7815,3
101165,2019-01-06,6500,1
103732,2019-11-03,7960,2
103671,2019-02-02,3780,1
104325,2019-07-27,3210,2
100667,2019-10-26,2750,1
105498,2019-01-10,13510,3
100261,2019-06-24,6120,4
102618,2019-10-01,11075,4
105396,2019-03-08,4752,1
101405,2019-04-27,14015,4
103412,2019-08-21,9400,1
100130,2019-12-23,3440,1
100750,2019-05-28,4460,2
104312,2019-02-25,8850,7
105210,2019-12-17,2250,1
101900,2019-01-19,3100,1
104623,2019-07-09,2500,1
105188,2019-07-04,5078,3
103699,2019-12-05,8292,2
105448,2019-02-26,1440,1
105068,2019-02-12,15976,2
103980,2019-04-20,4924,3
101735,2019-07-28,5250,1
100280,2019-12-03,3950,1
104032,2019-08-26,7838,1
100342,2019-06-30,29103,5
101731,2019-09-04,11114,3
102485,2019-02-09,6480,1
102927,2019-12-16,10320,4
102922,2019-02-04,50657,8
101017,2019-04-17,3760,1
104948,2019-10-22,10494,2
101415,2019-05-14,13950,1
103421,2019-02-18,5840,1
100310,2019-09-04,4600,1
104121,2019-01-16,16170,1
103563,2019-08-25,9796,4
104216,2019-07-28,17400,1
105916,2019-05-20,8027,2
103413,2019-04-16,10290,1
102825,2019-12-22,12750,2
103965,2019-12-17,3123,2
101399,2019-09-10,3960,1
105211,2019-08-12,15133,3
103708,2019-06-02,3880,1
103256,2019-08-27,6720,1
104665,2019-09-26,13680,4
104805,2019-04-10,18160,3
101309,2019-03-16,4210,2
105747,2019-02-26,1800,1
103443,2019-01-17,6441,2
105899,2019-08-30,3280,1
104943,2019-10-07,3359,2
101682,2019-12-16,9540,1
101169,2019-06-08,2700,1
102569,2019-04-04,16461,5
101626,2019-06-29,11455,4
102420,2019-06-24,29202,7
104879,2019-08-15,8010,2
105938,2019-01-15,4940,1
101213,2019-12-15,4362,2
103183,2019-01-22,21940,5
104258,2019-03-28,4589,1
105516,2019-10-17,5326,2
105863,2019-10-03,18988,4
103724,2019-12-21,4290,2
101601,2019-07-01,9135,1
101384,2019-12-23,6550,3
105755,2019-05-11,4965,3
100239,2019-04-08,3860,3
103058,2019-03-10,29700,1
101188,2019-11-19,10500,1
100461,2019-03-12,44100,1
104009,2019-09-22,2700,1
104527,2019-02-27,11844,2
100464,2019-10-02,1446,1
104531,2019-09-17,7750,1
105785,2019-04-17,2478,1
104624,2019-03-20,3336,1
100342,2019-11-22,5320,2
104732,2019-12-16,10000,1
105431,2019-04-24,37495,2
102516,2019-08-24,9274,2
103719,2019-02-16,3770,1
105974,2019-10-22,16378,6
101260,2019-01-15,12500,1
100184,2019-06-30,9650,2
104269,2019-06-13,4842,2
105423,2019-06-22,3781,1
104197,2019-08-11,13300,2
101103,2019-05-26,6980,1
103003,2019-07-14,4056,3
103097,2019-07-04,24576,1
101898,2019-11-04,12000,1
101265,2019-03-26,23079,6
102947,2019-02-27,33888,4
105128,2019-03-09,3466,1
104604,2019-07-06,2200,1
103345,2019-08-27,2940,1
104545,2019-05-12,31052,3
101087,2019-09-22,2520,1
100878,2019-09-24,2560,1
105040,2019-08-09,5508,3
105650,2019-02-26,2562,1
100426,2019-12-17,34876,3
105658,2019-09-16,2631,1
103585,2019-12-16,29700,1
101429,2019-11-03,10380,1
102958,2019-09-23,9040,2
103394,2019-02-28,19655,3
105596,2019-04-24,12530,2
100570,2019-03-04,5400,1
103729,2019-03-03,3348,2
101271,2019-08-24,5846,1
105433,2019-07-09,14800,1
103217,2019-03-17,65600,1
100656,2019-04-24,4800,1
100004,2019-12-11,7640,2
105376,2019-01-30,9710,2
105472,2019-09-02,8330,2
102211,2019-11-11,40334,6
100113,2019-11-13,3668,2
104717,2019-12-07,2436,1
100101,2019-03-03,16690,3
100725,2019-11-08,8784,1
100848,2019-01-28,11180,2
102155,2019-04-08,16128,2
100587,2019-06-16,22093,6
102733,2019-01-27,55800,2
101273,2019-06-11,6812,2
102694,2019-12-09,14876,5
105049,2019-02-06,8860,2
100494,2019-08-14,3510,2
105143,2019-01-28,5690,2
102684,2019-10-15,5070,1
102340,2019-12-16,17882,2
103236,2019-08-28,7280,2
104589,2019-06-29,3000,1
102331,2019-07-24,5240,1
102920,2019-07-16,3450,1
100666,2019-05-11,19350,6
103476,2019-12-17,3024,1
101606,2019-09-24,3040,1
105514,2019-09-07,22814,7
100004,2019-01-16,16300,2
104862,2019-04-20,9980,1
102798,2019-04-22,4240,1
103062,2019-10-13,10349,3
103185,2019-02-09,20200,2
105665,2019-02-01,22433,4
103682,2019-08-26,3200,1
102751,2019-04-12,4530,2
100501,2019-04-09,5884,2
100510,2019-10-31,4711,2
103797,2019-10-26,3936,1
102085,2019-08-18,5114,2
102990,2019-01-13,31000,1
102997,2019-08-03,5800,3
104092,2019-12-12,2594,2
105033,2019-03-09,1600,1
102485,2019-03-16,3835,2
100400,2019-05-29,7048,3
101028,2019-12-14,7600,1
105539,2019-05-02,19552,1
100293,2019-07-27,53400,1
105274,2019-05-18,31912,4
103166,2019-10-22,10830,1
101406,2019-01-29,1780,1
104216,2019-09-03,5320,1
103366,2019-05-28,5076,1
100130,2019-03-03,9400,1
101257,2019-04-10,5000,2
104247,2019-02-18,2300,1
101607,2019-03-25,3490,1
102867,2019-08-26,26084,4
101427,2019-02-25,67872,2
105317,2019-02-08,21457,2
104510,2019-03-31,8964,1
105809,2019-02-03,2740,1
100049,2019-03-18,5202,2
102556,2019-11-04,1925,1
104665,2019-11-01,30300,13
102291,2019-06-19,5792,1
103295,2019-11-27,11455,2
103557,2019-01-27,5760,1
103992,2019-01-22,27650,3
100454,2019-02-02,24280,3
103993,2019-08-12,8988,3
105945,2019-03-10,5185,3
103461,2019-10-15,7110,2
101167,2019-06-11,4700,1
105055,2019-12-16,12824,3
102521,2019-06-01,16179,4
101028,2019-01-19,15258,2
100170,2019-06-21,13338,1
101221,2019-11-24,3960,1
100918,2019-12-04,35100,2
103727,2019-12-20,30571,3
100939,2019-10-07,2336,1
101516,2019-10-02,2980,2
105025,2019-12-24,3983,3
104826,2019-04-30,1980,1
103720,2019-07-06,5580,3
104059,2019-02-19,5600,2
103257,2019-05-29,3427,2
105244,2019-06-23,3700,1
104611,2019-10-20,2356,1
103154,2019-01-15,8060,4
102642,2019-01-29,22100,2
103343,2019-07-17,11000,1
103564,2019-11-02,2492,2
101084,2019-01-22,19700,2
103010,2019-06-15,7056,2
103139,2019-12-01,19700,1
105068,2019-08-11,31960,5
102530,2019-01-28,3380,1
101776,2019-02-18,12200,1
104464,2019-03-24,4120,2
100416,2019-10-31,5160,1
104976,2019-03-19,15690,3
102422,2019-03-26,1388,1
100116,2019-04-19,14480,1
101013,2019-07-21,9135,3
103976,2019-10-06,10367,2
102389,2019-12-14,10395,3
103066,2019-04-20,15980,1
103570,2019-06-04,4980,2
101455,2019-07-27,9880,3
105367,2019-03-10,4932,1
100719,2019-09-30,25060,4
102302,2019-03-01,32500,1
101103,2019-07-01,9800,1
101384,2019-03-03,16056,1
105245,2019-02-18,11430,2
105360,2019-11-30,12500,2
103950,2019-02-20,13056,3
103344,2019-03-12,2176,1
103345,2019-10-02,2770,1
102065,2019-09-10,5740,2
102665,2019-09-05,10241,2
104339,2019-03-28,3014,1
104088,2019-08-17,10208,2
102773,2019-05-19,10140,2
104396,2019-01-17,58737,21
100118,2019-07-04,12037,2
101122,2019-12-12,11629,3
104024,2019-05-28,11280,3
100610,2019-12-26,27331,4
102266,2019-10-15,8300,2
103816,2019-12-20,17974,5
104819,2019-11-06,4380,1
101160,2019-07-15,6440,2
102279,2019-03-17,20190,2
102164,2019-12-23,4100,1
103754,2019-05-18,18130,1
100708,2019-10-08,3840,1
100101,2019-04-10,11650,3
100848,2019-03-03,9660,4
105408,2019-07-20,3100,1
105212,2019-10-06,4400,1
105562,2019-09-21,11100,2
105748,2019-04-20,6262,4
102684,2019-11-22,5940,1
105117,2019-06-23,3980,1
103477,2019-12-24,2954,2
101718,2019-10-21,5769,1
100293,2019-12-07,12960,2
102968,2019-04-08,1000,1
100206,2019-03-19,4494,2
103217,2019-12-21,6507,4
103916,2019-04-29,8460,1
104463,2019-08-16,4980,1
103682,2019-02-11,6500,1
103255,2019-07-24,3450,1
105154,2019-02-22,29000,1
101450,2019-12-16,3744,3
103120,2019-04-14,6500,1
102103,2019-11-19,2888,1
103349,2019-07-14,23250,3
104002,2019-06-17,7233,3
102119,2019-06-22,79033,10
100741,2019-08-26,33560,2
103247,2019-09-22,10414,4
100531,2019-02-06,24480,1
101266,2019-08-25,5475,2
101980,2019-08-20,2444,2
102999,2019-08-10,4396,2
101480,2019-09-17,3870,3
103486,2019-06-21,6831,1
101731,2019-03-28,11378,2
105890,2019-09-25,9960,2
105587,2019-10-05,10448,4
105135,2019-12-30,5219,2
101522,2019-02-12,28350,2
101511,2019-07-24,45040,2
104216,2019-02-20,3168,1
104253,2019-02-25,8700,3
100784,2019-03-05,9580,4
101609,2019-10-22,4410,1
100685,2019-11-25,4185,3
104259,2019-02-05,15547,3
104667,2019-11-08,20982,2
102155,2019-02-17,3440,1
100533,2019-07-01,6537,3
105780,2019-08-22,11766,2
102700,2019-09-02,6460,3
105451,2019-06-25,8360,2
102540,2019-08-17,7750,1
105899,2019-03-22,2482,2
105946,2019-03-17,2700,1
105068,2019-12-23,38130,2
105642,2019-12-18,26320,3
103892,2019-03-17,2976,1
101571,2019-04-24,7128,2
105277,2019-08-10,11110,3
100939,2019-03-24,1440,1
104389,2019-10-02,12890,3
104879,2019-03-07,4762,3
105461,2019-09-24,11600,1
104838,2019-05-05,49800,5
101455,2019-12-07,8500,1
102337,2019-09-26,34891,5
103168,2019-02-26,8781,3
103002,2019-06-11,4312,1
103174,2019-09-16,33514,9
103657,2019-09-11,3302,1
101350,2019-06-14,49116,3
101427,2019-11-29,2069,1
100542,2019-02-28,15637,1
105210,2019-12-01,15362,2
104300,2019-06-15,6414,4
101179,2019-01-19,6704,2
103489,2019-05-01,8100,3
105068,2019-01-28,2950,1
100531,2019-06-30,9880,1
101023,2019-12-20,17102,4
102329,2019-10-26,17600,1
104031,2019-01-20,14100,2
103444,2019-12-29,3837,2
100360,2019-02-03,4352,1
100978,2019-12-31,3480,2
105477,2019-12-09,9970,5
105974,2019-05-14,2952,2
104285,2019-07-27,20671,9
101612,2019-09-02,3039,2
103571,2019-06-11,20482,3
101005,2019-03-04,1140,1
105322,2019-10-12,11090,3
100064,2019-03-20,1970,1
100403,2019-01-20,5940,1
104202,2019-09-25,8242,2
100585,2019-05-13,18700,3
102217,2019-07-19,7562,1
100839,2019-02-23,5705,2
103084,2019-07-09,16940,5
100340,2019-05-21,3680,2
103443,2019-01-01,3108,2
103501,2019-02-12,21560,1
105117,2019-11-03,3690,2
100459,2019-07-01,19450,5
101699,2019-06-23,8502,3
103030,2019-05-19,6200,1
101178,2019-10-16,6451,1
104337,2019-10-15,12420,2
100361,2019-02-09,14000,1
102975,2019-07-22,24690,2
103352,2019-10-22,2268,1
101916,2019-04-17,3055,2
104293,2019-03-22,8550,1
100507,2019-01-29,8780,3
100904,2019-01-07,5265,2
102818,2019-12-01,17520,2
100750,2019-12-22,22062,1
105314,2019-01-15,11940,1
101145,2019-11-18,28416,3
104607,2019-11-05,6945,1
105959,2019-02-16,2258,1
103600,2019-09-21,9800,1
104026,2019-02-26,9590,5
102941,2019-02-02,7575,1
101789,2019-05-29,13600,3
105298,2019-05-11,9300,1
101264,2019-07-15,10197,3
100380,2019-03-09,5524,2
101584,2019-03-23,3000,1
101136,2019-02-23,8315,2
100373,2019-11-29,4579,2
101730,2019-09-08,29483,7
102122,2019-02-18,1395,1
104480,2019-12-17,59064,1
100906,2019-06-19,15238,3
102012,2019-06-24,6850,2
101210,2019-10-02,12800,1
102306,2019-01-20,1300,1
105974,2019-10-06,3016,2
100198,2019-06-24,9060,2
102507,2019-03-16,7020,1
101005,2019-07-28,7619,4
102771,2019-12-16,22182,2
101543,2019-06-23,3980,1
103852,2019-03-15,2874,2
102691,2019-01-02,8722,4
102140,2019-01-07,17940,3
103097,2019-06-20,28246,3
104100,2019-05-06,14500,1
100585,2019-10-05,3910,2
103557,2019-07-14,4482,1
105128,2019-02-25,4856,3
101937,2019-03-05,49674,3
103135,2019-01-23,6362,4
101167,2019-11-30,4769,1
105142,2019-05-17,4974,2
105842,2019-04-15,2980,1
101275,2019-08-18,11820,2
101825,2019-03-07,11771,2
104028,2019-04-15,3480,1
102223,2019-09-07,5720,2
100614,2019-11-13,23000,1
100929,2019-02-14,6566,2
100171,2019-11-07,5282,2
102557,2019-12-18,1476,1
105780,2019-09-29,10241,4
103598,2019-06-07,3280,1
103295,2019-06-19,15492,3
101230,2019-10-21,4130,3
100076,2019-01-04,8449,1
104464,2019-08-24,10170,4
104580,2019-01-02,2873,1
102122,2019-06-23,6450,2
100910,2019-08-07,5030,3
103266,2019-04-26,7000,1
105423,2019-12-29,3420,1
100962,2019-12-16,6031,2
101554,2019-02-18,22785,2
102207,2019-01-21,3370,2
105396,2019-03-12,2434,1
104194,2019-07-28,3060,2
103912,2019-12-17,3194,2
104111,2019-01-01,23116,3
101403,2019-05-27,4007,2
103552,2019-01-20,9147,3
103856,2019-07-30,9940,2
105909,2019-04-29,3864,2
103060,2019-05-12,1650,1
104623,2019-07-13,1360,1
102045,2019-07-20,3400,1
105247,2019-01-02,15098,5
104058,2019-09-16,7820,1
102593,2019-09-09,3980,1
101183,2019-03-01,17902,4
105068,2019-02-16,3260,2
102187,2019-05-07,6360,1
105043,2019-05-18,5274,3
100322,2019-07-20,35200,1
101628,2019-05-26,31560,2
105596,2019-10-31,3140,1
104732,2019-07-28,5400,2
100973,2019-06-29,4480,1
104582,2019-03-19,4800,1
104892,2019-06-12,2801,1
103337,2019-08-25,4440,1
100784,2019-08-17,14525,5
105966,2019-05-11,4515,2
101427,2019-01-22,9100,3
103082,2019-01-07,23800,1
100648,2019-03-25,14400,1
104891,2019-06-02,4015,1
100883,2019-09-18,12570,2
103533,2019-01-01,2580,1
100985,2019-09-14,14216,2
105084,2019-09-28,9120,1
100234,2019-04-27,5120,2
104178,2019-02-02,5792,2
100891,2019-04-22,6480,2
105472,2019-04-14,4400,2
104063,2019-01-26,14700,2
101516,2019-08-31,10960,5
102374,2019-08-26,1269,1
102412,2019-08-19,9388,2
100849,2019-03-30,20940,1
105967,2019-01-06,24560,2
103677,2019-01-21,14600,3
101354,2019-12-04,4483,2
103009,2019-03-03,1780,1
104607,2019-11-25,17170,3
100685,2019-06-10,7708,3
102112,2019-12-22,1083,1
104704,2019-02-17,5985,1
101289,2019-02-25,19740,2
104571,2019-01-01,4440,1
103446,2019-10-28,27126,3
105704,2019-07-13,1690,1
105849,2019-07-10,7760,1
105033,2019-09-16,3980,1
102681,2019-02-19,3100,1
105644,2019-05-04,5570,2
103382,2019-08-07,4060,2
102552,2019-07-15,10302,3
104227,2019-04-14,7300,1
104228,2019-11-04,1611,1
102910,2019-09-08,3360,2
101862,2019-03-03,1396,1
102819,2019-08-16,4874,2
103169,2019-07-31,17914,6
100957,2019-01-31,8740,2
103417,2019-09-22,4580,2
103192,2019-04-11,10486,3
105970,2019-10-13,5250,2
103759,2019-11-03,7160,1
104725,2019-08-10,3440,1
102119,2019-08-17,11890,2
103997,2019-01-12,3275,2
101980,2019-10-15,2416,1
100233,2019-08-27,5540,2
103025,2019-01-07,3070,2
102230,2019-01-07,1440,1
102952,2019-03-05,14543,2
103881,2019-09-17,4280,1
101570,2019-10-24,11096,3
100417,2019-07-29,46030,5
102918,2019-11-25,29278,2
101818,2019-12-15,8900,1
100165,2019-05-05,9000,1
104174,2019-09-02,7910,4
105224,2019-07-15,5400,1
102845,2019-07-01,5660,2
102279,2019-02-14,6270,1
101450,2019-03-16,10063,2
102793,2019-08-31,2584,2
104413,2019-06-01,4470,1
101301,2019-05-29,2300,1
100725,2019-11-12,3500,1
100498,2019-02-17,4650,1
105780,2019-10-17,14160,1
103751,2019-02-06,15330,4
105853,2019-12-12,4180,2
101890,2019-02-11,17490,2
100281,2019-04-17,2150,1
104954,2019-03-04,14500,4
101780,2019-06-17,5464,3
100218,2019-08-18,29352,3
104986,2019-06-11,27160,2
103181,2019-11-03,1578,1
100162,2019-03-31,4560,2
104278,2019-09-11,3180,1
101606,2019-09-28,24810,4
102613,2019-06-30,11220,2
100914,2019-07-06,3880,1
104867,2019-11-14,3201,1
105396,2019-04-19,14472,2
105910,2019-04-14,5188,2
100253,2019-10-01,3380,1
100127,2019-07-12,15595,6
105615,2019-11-08,1620,1
102959,2019-06-03,21340,2
101700,2019-07-24,5620,2
104120,2019-02-03,22500,3
105909,2019-06-04,4315,3
105185,2019-01-25,2938,1
104548,2019-10-01,6042,2
103698,2019-06-26,7422,2
105068,2019-03-23,30216,2
101037,2019-06-06,4495,2
101105,2019-12-28,3560,2
103433,2019-01-12,3870,1
104389,2019-01-02,5128,1
101731,2019-10-15,4000,1
102485,2019-03-20,66096,1
102730,2019-09-23,10340,2
101471,2019-11-12,3600,1
100184,2019-03-17,20336,3
103261,2019-11-30,16170,6
100800,2019-02-25,12250,2
105872,2019-06-28,9540,3
102820,2019-07-11,10002,3
103177,2019-07-06,5076,1
100780,2019-03-02,1980,1
102180,2019-02-24,37218,4
105817,2019-08-31,29800,1
104208,2019-11-05,26550,1
104907,2019-03-13,4980,1
103755,2019-07-08,6204,1
102299,2019-04-25,5793,2
101740,2019-05-12,15858,5
100883,2019-10-25,16910,1
101083,2019-05-31,3760,2
105000,2019-01-16,3380,1
102521,2019-06-05,3080,1
100469,2019-08-21,5346,1
103857,2019-05-22,21256,5
102419,2019-01-06,8940,2
104879,2019-09-26,1558,1
101511,2019-03-16,42000,1
104823,2019-04-10,12879,2
105127,2019-10-20,23574,5
105938,2019-02-26,5580,1
103112,2019-08-24,19300,2
105314,2019-03-10,4932,2
100397,2019-07-30,1780,1
105358,2019-11-19,13266,4
100685,2019-07-17,3924,2
100146,2019-12-19,28329,1
104068,2019-02-13,9399,1
101942,2019-03-03,1960,1
105124,2019-08-25,9600,1
103058,2019-04-21,2288,2
104697,2019-12-12,28355,7
102636,2019-06-24,68767,9
105033,2019-10-23,3980,1
103010,2019-06-19,4280,1
103638,2019-09-07,2540,1
104337,2019-01-15,2864,2
105785,2019-05-28,4590,1
103356,2019-08-12,3166,2
100243,2019-01-29,16980,1
